1512104594	2219375	1142881	870370
1512104604	2227461	1147176	872767
1512104614	2234197	1152632	876312
1512104624	2242128	1157027	879225
1512104634	2252069	1161065	882929
1512104644	2257967	1167248	886773
1512104654	2265352	1171139	890698
1512104664	2273424	1175561	893305
1512104674	2283948	1180110	895285
1512104684	2292520	1184607	898670
1512104694	2300606	1189610	902028
1512104704	2308377	1194580	905695
1512104714	2314892	1197939	908670
1512104724	2324890	1201598	911655
1512104735	2332411	1206519	913886
1512104745	2337353	1210195	916501
1512104755	2344475	1214865	920204
1512104765	2350786	1217696	923077
1512104775	2359549	1221749	925949
1512104785	2367069	1226610	928923
1512104795	2376888	1230066	932029
1512104805	2385395	1235468	934223
1512104815	2393910	1239968	937710
1512104825	2400827	1245176	940895
1512104835	2407920	1249409	945098
1512104845	2414764	1253737	947585
1512104855	2423971	1258913	951290
1512104865	2434864	1262604	954091
1512104875	2442196	1267460	956627
1512104885	2450947	1271004	960272
1512104895	2460672	1275682	962970
1512104905	2466657	1278906	966095
1512104915	2473532	1282737	969588
1512104925	2481040	1286108	973277
1512104935	2489923	1291255	976662
1512104945	2497052	1296683	980112
1512104955	2508192	1300432	983543
1512104965	2517169	1305161	986498
1512104975	2525600	1310076	989548
1512104985	2533709	1314880	992716
1512104995	2542815	1317879	997183
1512105005	2554659	1321319	1001031
1512105015	2563827	1326274	1004099
1512105025	2572569	1329893	1008061
1512105035	2582091	1333281	1010195
1512105045	2589637	1338497	1014161
1512105055	2596366	1343469	1017094
1512105065	2605586	1347042	1020069
1512105075	2614269	1351551	1023982
1512105085	2622252	1355162	1028699
1512105096	2629701	1359080	1031858
1512105106	2639539	1362545	1034844
1512105116	2647162	1366616	1037996
1512105126	2658240	1372196	1041259
1512105136	2666640	1375709	1043589
1512105146	2675516	1379831	1046764
1512105156	2686089	1384443	1049254
1512105166	2695785	1389153	1052701
1512105176	2703445	1394493	1055657
1512105186	2713815	1399571	1058460
1512105196	2721927	1403746	1061910
1512105206	2729821	1407955	1066224
1512105216	2735968	1411573	1069286
1512105226	2744814	1415160	1072485
1512105236	2752470	1420390	1075644
1512105246	2761290	1424821	1078494
1512105256	2766833	1429811	1081707
1512105266	2775166	1433573	1085211
1512105276	2785300	1438595	1087866
1512105286	2794747	1443099	1090754
1512105296	2804272	1446408	1094656
1512105306	2810376	1450717	1097847
1512105316	2816648	1455448	1100607
1512105326	2826454	1460719	1103159
1512105336	2834080	1465774	1106711
1512105346	2841943	1470389	1109603
1512105356	2850104	1474618	1113454
1512105366	2856412	1478499	1117696
1512105376	2865363	1481734	1120965
1512105386	2871894	1485473	1123302
1512105396	2881171	1490813	1126643
1512105406	2890597	1494969	1128221
1512105416	2897854	1499742	1130737
1512105426	2907270	1504481	1133445
1512105436	2907577	1505146	1133853
1512105446	2907577	1505146	1133853
1512105457	2907577	1505146	1133853
1512105467	2907577	1505146	1133853
1512105477	2907577	1505146	1133853
1512105487	2907577	1505146	1133853
1512105497	2907577	1505146	1133853
1512105507	2907577	1505146	1133853
1512105517	2907577	1505146	1133853
